               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.041458,            0.014783,            0.022159,             0.69076,             0.55535,             0.63396,             0.37043,            0.038124,           0.0053784,             0.02575,           0.0086932,           0.0086932,           0.0086932
                  68,            0.040385,            0.014841,            0.021646,              0.6543,             0.55841,             0.61695,             0.35479,            0.036022,            0.005216,            0.027952,           0.0086734,           0.0086734,           0.0086734
                  69,             0.03984,            0.014527,            0.021558,             0.67746,             0.54587,              0.6218,             0.34755,            0.040185,           0.0053469,            0.029568,           0.0086536,           0.0086536,           0.0086536
                  70,            0.040434,            0.014596,            0.021999,             0.72998,             0.54914,             0.62902,             0.36005,            0.039066,           0.0051303,            0.029968,           0.0086338,           0.0086338,           0.0086338
                  71,            0.040401,             0.01439,            0.021093,             0.72723,             0.54472,             0.64157,             0.38253,             0.03794,           0.0051246,            0.023859,            0.008614,            0.008614,            0.008614
                  72,            0.040105,            0.014693,            0.021361,             0.70403,             0.53295,             0.61564,             0.36279,            0.038098,           0.0053025,             0.02686,           0.0085942,           0.0085942,           0.0085942
                  73,            0.039754,            0.014718,            0.020284,             0.74188,             0.56846,             0.65395,             0.37006,            0.034093,           0.0052845,            0.021591,           0.0085744,           0.0085744,           0.0085744
                  74,            0.039632,            0.014641,            0.020536,             0.68766,              0.5657,             0.65231,             0.37057,            0.033861,           0.0053435,            0.024222,           0.0085546,           0.0085546,           0.0085546
                  75,            0.040087,             0.01445,            0.020224,             0.74081,             0.55531,             0.67664,              0.3972,            0.041519,           0.0052199,             0.02753,           0.0085348,           0.0085348,           0.0085348
                  76,            0.039986,            0.014594,            0.020768,             0.74204,             0.55578,             0.65844,             0.39232,             0.04029,           0.0050763,             0.03765,            0.008515,            0.008515,            0.008515
                  77,            0.039872,            0.014469,            0.019911,             0.68076,             0.58543,             0.66688,             0.37519,            0.037079,           0.0051709,            0.022779,           0.0084952,           0.0084952,           0.0084952
                  78,            0.039991,            0.014593,             0.02012,             0.69425,             0.57678,             0.64943,             0.38023,            0.034216,           0.0052102,            0.024301,           0.0084754,           0.0084754,           0.0084754
                  79,            0.039935,            0.014249,            0.019453,             0.72138,             0.59244,             0.66404,             0.38189,            0.038146,           0.0050353,            0.024237,           0.0084556,           0.0084556,           0.0084556
                  80,            0.039876,            0.014372,            0.019288,              0.7176,              0.5769,              0.6564,             0.38216,             0.03723,           0.0052141,            0.023631,           0.0084358,           0.0084358,           0.0084358
                  81,            0.039671,            0.014487,            0.020572,             0.70719,             0.56919,             0.66152,             0.38851,             0.03541,           0.0050388,            0.029964,            0.008416,            0.008416,            0.008416
                  82,            0.039976,            0.014523,            0.019792,             0.72284,             0.58589,             0.68826,             0.40538,            0.038256,           0.0052432,            0.023437,           0.0083962,           0.0083962,           0.0083962
                  83,            0.039132,            0.014189,            0.019942,             0.70075,             0.59875,             0.68681,             0.40542,            0.039818,           0.0052229,            0.032848,           0.0083764,           0.0083764,           0.0083764
                  84,            0.039667,            0.014513,            0.019413,             0.67756,             0.59566,             0.67306,              0.3827,            0.040297,            0.005131,            0.025233,           0.0083566,           0.0083566,           0.0083566
                  85,            0.039667,            0.014163,             0.01993,             0.76355,             0.57624,             0.70423,              0.4089,            0.038593,           0.0052286,            0.029209,           0.0083368,           0.0083368,           0.0083368
                  86,            0.038343,            0.014276,            0.019463,             0.67562,             0.61703,              0.6878,             0.40185,            0.035791,            0.005244,            0.022137,            0.008317,            0.008317,            0.008317
                  87,            0.038988,            0.014252,            0.019461,             0.68912,              0.6312,             0.69656,             0.41543,            0.039495,           0.0051832,            0.024255,           0.0082972,           0.0082972,           0.0082972
                  88,            0.038361,            0.014565,            0.018536,             0.71106,             0.59575,             0.69355,             0.41783,            0.037327,           0.0051726,            0.031114,           0.0082774,           0.0082774,           0.0082774
                  89,             0.03883,            0.013997,            0.019343,             0.69017,              0.6506,             0.71753,             0.41109,            0.036794,           0.0052505,            0.024391,           0.0082576,           0.0082576,           0.0082576
                  90,             0.03942,            0.014382,            0.019787,             0.72273,             0.60664,             0.69042,             0.39211,            0.039373,           0.0052368,            0.024773,           0.0082378,           0.0082378,           0.0082378
                  91,            0.038503,            0.014206,            0.017735,             0.71995,             0.63116,             0.69181,             0.39788,            0.036987,           0.0052727,            0.027505,            0.008218,            0.008218,            0.008218
                  92,             0.03868,            0.014404,            0.019247,             0.76369,             0.63643,             0.72492,             0.41561,            0.034689,           0.0050358,            0.026115,           0.0081982,           0.0081982,           0.0081982
                  93,            0.039047,            0.014349,            0.018095,             0.72125,             0.62199,             0.68044,             0.39941,            0.037237,           0.0051021,            0.026504,           0.0081784,           0.0081784,           0.0081784
                  94,            0.038744,            0.014157,             0.01813,             0.73278,             0.60614,             0.71377,              0.4166,            0.039864,           0.0051687,            0.029143,           0.0081586,           0.0081586,           0.0081586
                  95,            0.038353,            0.014285,            0.019262,             0.69133,             0.63653,             0.69986,             0.41707,            0.037312,           0.0052461,            0.028995,           0.0081388,           0.0081388,           0.0081388
                  96,            0.038254,             0.01397,            0.018828,              0.7248,             0.65465,             0.71833,             0.43584,            0.036882,           0.0051682,             0.02222,            0.008119,            0.008119,            0.008119
                  97,            0.038847,            0.014121,            0.017658,             0.75903,             0.62515,             0.71403,             0.42729,            0.039757,           0.0050327,            0.027696,           0.0080992,           0.0080992,           0.0080992
                  98,              0.0381,             0.01399,            0.018453,             0.71905,             0.60415,             0.71112,             0.41873,            0.032789,           0.0052169,            0.023274,           0.0080794,           0.0080794,           0.0080794
                  99,            0.037984,            0.014134,            0.017403,             0.76886,              0.6291,             0.72746,             0.43573,            0.039282,           0.0052237,            0.027869,           0.0080596,           0.0080596,           0.0080596
                 100,            0.038291,            0.013876,            0.018528,             0.71598,             0.63739,              0.6916,             0.40912,            0.037323,           0.0051921,            0.027546,           0.0080398,           0.0080398,           0.0080398
                 101,            0.038123,            0.014096,             0.01784,              0.7999,              0.6198,             0.73146,             0.43324,            0.036556,           0.0051612,            0.030912,             0.00802,             0.00802,             0.00802
                 102,            0.037992,            0.013763,            0.017136,             0.72769,             0.65451,             0.74258,             0.44403,            0.038224,           0.0051772,            0.026924,           0.0080002,           0.0080002,           0.0080002
                 103,            0.037951,             0.01364,            0.017327,             0.73729,             0.64984,              0.7472,              0.4369,            0.036518,           0.0048808,            0.024143,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037881,            0.013719,            0.017582,             0.73724,              0.6525,             0.71166,             0.41935,            0.038948,           0.0050974,            0.021163,           0.0079606,           0.0079606,           0.0079606
                 105,            0.037587,            0.013814,            0.017181,             0.75669,             0.64672,             0.73701,             0.42498,            0.039325,           0.0050333,            0.024682,           0.0079408,           0.0079408,           0.0079408
                 106,            0.037666,            0.014246,            0.018256,             0.76824,              0.6557,             0.73203,             0.45194,            0.037847,           0.0052209,            0.025146,            0.007921,            0.007921,            0.007921
                 107,             0.03791,            0.014117,             0.01806,             0.76321,             0.65203,             0.73603,             0.42017,            0.035391,           0.0049942,            0.018451,           0.0079012,           0.0079012,           0.0079012
                 108,            0.037166,            0.013728,            0.017267,              0.7574,             0.63382,             0.72988,             0.43427,            0.037917,           0.0050984,            0.018025,           0.0078814,           0.0078814,           0.0078814
                 109,            0.037573,            0.013872,            0.017738,             0.77734,             0.65172,             0.73569,             0.43642,            0.036585,            0.005227,            0.025727,           0.0078616,           0.0078616,           0.0078616
                 110,            0.037944,            0.014184,            0.017002,             0.69506,             0.65259,             0.73933,             0.42798,            0.036062,           0.0050853,            0.021066,           0.0078418,           0.0078418,           0.0078418
                 111,            0.037203,            0.013929,            0.016153,             0.71923,             0.65938,             0.73865,             0.43068,            0.036851,           0.0049138,            0.021366,            0.007822,            0.007822,            0.007822
                 112,            0.036723,            0.013428,            0.016395,             0.74792,             0.66208,             0.74775,             0.45398,            0.039923,           0.0051572,            0.027138,           0.0078022,           0.0078022,           0.0078022
                 113,            0.037584,            0.013683,            0.016781,             0.71603,             0.67416,             0.72571,             0.44019,            0.037789,           0.0052526,            0.021262,           0.0077824,           0.0077824,           0.0077824
                 114,            0.038025,            0.013794,            0.016658,             0.71485,             0.69412,             0.73084,             0.43729,             0.03737,           0.0050265,            0.028278,           0.0077626,           0.0077626,           0.0077626
                 115,            0.036726,            0.013552,            0.017176,             0.77544,             0.65168,             0.75252,             0.45403,            0.037074,           0.0050306,            0.026525,           0.0077428,           0.0077428,           0.0077428
                 116,            0.037498,            0.013814,            0.016027,              0.7208,             0.65654,             0.73979,             0.44275,            0.036039,           0.0049989,            0.029238,            0.007723,            0.007723,            0.007723
                 117,            0.037334,             0.01355,            0.016635,             0.71746,             0.69753,             0.73879,             0.45896,            0.040919,           0.0050484,            0.029297,           0.0077032,           0.0077032,           0.0077032
                 118,            0.036955,            0.013727,            0.016506,             0.77422,             0.68001,             0.72729,             0.44475,            0.035239,            0.005095,            0.026843,           0.0076834,           0.0076834,           0.0076834
                 119,            0.037259,            0.013589,            0.015698,             0.76626,             0.66353,             0.73345,             0.44299,            0.037022,           0.0053261,            0.025521,           0.0076636,           0.0076636,           0.0076636
                 120,              0.0372,            0.014017,            0.015578,             0.77642,             0.67599,             0.76725,             0.46209,            0.035643,           0.0050629,            0.019277,           0.0076438,           0.0076438,           0.0076438
                 121,            0.036765,            0.013845,            0.016205,              0.7926,             0.64737,             0.77072,              0.4727,            0.035957,           0.0049772,            0.022009,            0.007624,            0.007624,            0.007624
                 122,            0.036786,            0.013862,            0.016037,             0.73493,             0.66019,             0.74608,             0.45559,            0.037742,           0.0051007,            0.032694,           0.0076042,           0.0076042,           0.0076042
                 123,            0.036166,            0.013297,            0.017614,             0.77238,             0.66703,                0.76,             0.46481,            0.038663,            0.004974,            0.020467,           0.0075844,           0.0075844,           0.0075844
                 124,            0.037164,             0.01362,            0.016437,             0.76131,             0.70012,             0.76253,             0.46765,            0.039678,           0.0049935,             0.03063,           0.0075646,           0.0075646,           0.0075646
                 125,             0.03677,            0.013612,            0.015783,              0.7632,             0.69196,             0.76622,             0.47041,            0.037861,           0.0051008,            0.020166,           0.0075448,           0.0075448,           0.0075448
                 126,            0.036873,            0.013739,            0.015019,             0.78435,             0.67906,             0.75735,             0.45647,            0.032867,           0.0051092,            0.020503,            0.007525,            0.007525,            0.007525
                 127,            0.036431,            0.013748,             0.01538,             0.73432,             0.72388,             0.77853,             0.47277,            0.035786,           0.0049122,            0.021144,           0.0075052,           0.0075052,           0.0075052
                 128,            0.035477,             0.01359,             0.01531,             0.80707,             0.68683,              0.7683,              0.4672,            0.037266,           0.0048888,            0.027275,           0.0074854,           0.0074854,           0.0074854
                 129,            0.036683,            0.013558,            0.015634,             0.76537,             0.69491,             0.76173,             0.46101,            0.034012,            0.004945,            0.022015,           0.0074656,           0.0074656,           0.0074656
                 130,            0.036152,            0.013626,            0.015041,             0.76573,              0.6694,             0.76296,             0.46691,            0.037093,            0.004973,            0.024616,           0.0074458,           0.0074458,           0.0074458
                 131,            0.036275,            0.013618,            0.015072,             0.79443,             0.67488,              0.7866,             0.48774,            0.037846,           0.0048465,            0.021645,            0.007426,            0.007426,            0.007426
                 132,            0.035774,            0.013251,            0.015414,             0.81009,             0.69223,             0.76745,             0.47411,            0.037939,           0.0049401,             0.02319,           0.0074062,           0.0074062,           0.0074062
                 133,            0.036244,            0.013493,            0.015586,             0.82103,             0.66571,             0.79394,             0.47821,            0.035363,           0.0051071,            0.022456,           0.0073864,           0.0073864,           0.0073864
                 134,            0.035449,            0.013295,            0.016178,             0.78835,              0.6688,             0.76974,             0.46444,            0.034085,           0.0051085,            0.019039,           0.0073666,           0.0073666,           0.0073666
                 135,             0.03624,            0.013313,            0.015931,              0.7875,             0.66461,             0.77167,             0.48156,            0.037374,           0.0049255,             0.02049,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03574,            0.013187,            0.015992,             0.70508,             0.71236,             0.78465,             0.49494,            0.036973,           0.0049692,            0.019462,            0.007327,            0.007327,            0.007327
                 137,            0.035388,            0.013579,            0.015535,             0.76244,             0.70115,             0.78753,               0.478,            0.031979,           0.0048943,            0.014613,           0.0073072,           0.0073072,           0.0073072
                 138,            0.035837,            0.013509,            0.016141,             0.79079,             0.69049,             0.77634,             0.47514,            0.035411,           0.0050504,            0.017483,           0.0072874,           0.0072874,           0.0072874
                 139,            0.035514,            0.013432,            0.015036,             0.80365,              0.6546,             0.78469,             0.47952,            0.033196,           0.0049822,            0.019844,           0.0072676,           0.0072676,           0.0072676
                 140,            0.035373,            0.013228,            0.015373,             0.75228,             0.68413,              0.7704,             0.48184,            0.029044,           0.0049707,            0.016613,           0.0072478,           0.0072478,           0.0072478
                 141,            0.035743,            0.013334,            0.014372,             0.77479,             0.66304,             0.75938,             0.46465,            0.037051,            0.004931,            0.027313,            0.007228,            0.007228,            0.007228
